eta.ETA_Cl,eta.ETA_Vc,eta.ETA_Ka,eta.ETA_Km,ofv
0.06505211257530652,-0.09706222054511007,-3.2158328322268357e-6,-0.06276826870048875,-0.7136792716687773
0.20697119971716413,-0.5048115037005555,1.2914775804338647e-5,-0.260421333469761,25.094431843401694
0.25682890311772333,-0.3448558433453871,3.866619202383506e-7,-0.2136476840166591,3.4769209634673137
0.3075095230281732,0.14275393383208623,-3.326850429101818e-5,-0.2490329986121505,27.55979796243635
0.023986193282595197,-0.02559168558420535,7.5119952860999485e-6,-0.02070284275693511,5.023303045200614
0.016965854411266947,0.14916357347584921,2.633234285302042e-6,-0.028221452162940756,35.15384785556914
0.2730727281057681,-0.42789681290896986,-3.1118836872823343e-7,-0.22326344197481837,-1.5920763046958268
0.08304609119905412,-0.33883774416508444,-2.9464424898602117e-6,-0.05548644417332582,35.02204469673918
-0.24252400728682025,0.12769930466209437,1.3000789961943624e-7,0.18834430790369242,9.245081723573621
-0.19695003644978584,0.16634859376624625,1.4686579168641191e-6,0.15718496302627238,37.1386775714644
-0.4663609674009441,0.04475055250174211,-3.9125540388588635e-8,0.36974332094109463,11.422670466657808
0.5916047872270156,0.22143703975578996,8.174319224953e-5,-0.2918240531572804,36.91193645314763
-0.21775039055464604,0.1500577978264442,2.933383847327039e-7,0.15810588994572278,9.175197873721192
-0.4154117581624572,-0.6375156555982259,2.793988542408425e-7,0.21556010319542032,48.504455646412964
-0.013501020180712418,0.008009991597332086,4.517417064820043e-6,0.007874180686489924,8.618169391454018
0.7173869820488776,-0.12883277435313156,-5.869460534379943e-7,-0.3282974328867601,36.39239951841419
0.15825200644108658,-0.19717674372269525,1.5412580200477927e-5,-0.10220189413596426,4.8823145802488535
-0.24907630698329747,-0.40737136787338263,4.440604670847084e-6,0.23147828387813432,22.580253290962766
-0.2423339642378261,0.17199584245904057,2.8700316562323714e-5,0.23511423506761794,4.421286688328416
0.08014497457126347,-0.04423606616383878,-4.542901158035216e-8,-0.07606187865777077,15.002675359079856
-0.29519520536056515,0.23565477825535494,4.031927286911311e-7,0.2849650121362375,5.755723733035885
-0.038016658929352784,0.2388303495179132,-1.1587062939473922e-5,0.03993696523520111,29.92844121997329
0.029459623232565315,-0.037579032286054914,-7.583613084175907e-8,-0.026404366495776894,3.1209465478956275
0.02337846014698691,-0.2711486930080178,1.2252747569622136e-6,-0.03669360411848931,23.455922862269954
0.013780544103256338,-0.01495582375796063,9.763752794233448e-7,-0.012031714497344668,4.930636068405479
0.11975180565100024,0.04954583972508211,-2.536627663422188e-5,-0.13423463814645828,33.492637644334096
-0.2446706289650488,0.22618418667568282,-3.1198089730053596e-7,0.2116980399317181,7.017690969426936
0.17935310627927425,-0.08624481618086914,-1.2601753202083985e-5,-0.1391918334459936,33.99137366987484
0.13228848315170394,-0.10332525368441842,1.436905364010012e-6,-0.08976700739048464,7.471440155270828
0.1665497731782629,-0.3451008281572051,6.5673762120534144e-6,-0.14664928078913392,38.45696212180892
0.3077125449977458,-0.3659420328240708,-4.388454911541175e-6,-0.1946402031831956,5.82126454321952
0.20412433344762934,-0.059162396664439475,-2.3182558591705547e-8,-0.14930482351905236,36.789369514303175
0.2884157346294813,-0.43557710348022555,4.675889395885064e-5,-0.21941383711041312,-0.298211615341319
0.14125451811931503,-0.2803834532463019,-7.566142169708897e-6,-0.09116939246006096,41.640282126237466
