run,index,mlx.time,mcmc.time,sir.time,mlx_sir,mlx_mcmc
3,19,24,23.8,23.8,-0.008333333333333304,-0.008333333333333304
3,20,22.8,23,22.900000000000002,0.004385964912280764,0.008771929824561372
6,1,3,3,3,0,0
6,2,3,3,3,0,0
6,3,3,3,3,0,0
6,4,3,3,3,0,0
6,5,3,3,3,0,0
6,6,3,3,3,0,0
6,7,3,3,3,0,0
6,8,3,3,3,0,0
6,9,3,3,3,0,0
6,10,3,3,3,0,0
6,11,3,3,3,0,0
6,12,3,3,3,0,0
6,13,3,3,3,0,0
6,14,3,3,3,0,0
6,15,3,3,3,0,0
6,16,3,3,3,0,0
6,17,3,3,3,0,0
6,18,3,3,3,0,0
6,19,3,3,3,0,0
6,20,3,3,3,0,0
101,1,11.200000000000001,11.200000000000001,11.200000000000001,0,0
101,2,14.9,15,14.9,0,0.00671140939597313
101,3,7.800000000000001,7.7,7.7,-0.012820512820512888,-0.012820512820512888
101,4,12.1,12.1,12.200000000000001,0.008264462809917474,0
101,5,21,21.3,21,0,0.01428571428571432
101,6,9.8,9.9,9.8,0,0.010204081632653024
101,7,12.9,12.9,12.9,0,0
101,8,16.3,16.4,16.4,0.006134969325153243,0.006134969325153243
101,9,12.600000000000001,12.700000000000001,12.600000000000001,0,0.007936507936507907
101,10,16.700000000000003,16.9,16.700000000000003,0,0.011976047904191359
101,11,8.4,8.4,8.4,0,0
101,12,24.1,24,23.900000000000002,-0.008298755186721962,-0.004149377593361055
101,13,9.100000000000001,9.2,9.2,0.010989010989010752,0.010989010989010752
101,14,7.7,7.800000000000001,7.800000000000001,0.012987012987013056,0.012987012987013056
101,15,11.3,11.200000000000001,11.3,0,-0.008849557522123862
101,16,16.200000000000003,16.200000000000003,16.200000000000003,0,0
101,17,13.8,13.8,13.700000000000001,-0.007246376811594177,0
101,18,29.400000000000002,29.900000000000002,29.3,-0.003401360544217735,0.017006802721088433
101,19,16.9,16.8,16.8,-0.0059171597633134836,-0.0059171597633134836
101,20,15.700000000000001,15.8,15.8,0.006369426751592334,0.006369426751592334
201,1,10.600000000000001,10.3,10.3,-0.028301886792452893,-0.028301886792452893
201,2,36.4,36.5,36.5,0.0027472527472527865,0.0027472527472527865
201,3,9.8,9.8,9.7,-0.010204081632653206,0
201,4,21.6,21.6,21.400000000000002,-0.009259259259259226,0
201,5,35.300000000000004,32.6,32.3,-0.08498583569405119,-0.07648725212464597
201,6,19.8,20,19.7,-0.005050505050505122,0.010101010101010065
201,7,13.100000000000001,13.5,13.5,0.030534351145038056,0.030534351145038056
201,8,13,13.100000000000001,12.9,-0.007692307692307665,0.007692307692307802
201,9,9.600000000000001,9.2,9.2,-0.04166666666666688,-0.04166666666666688
201,10,74.4,71.8,72.2,-0.029569892473118316,-0.0349462365591399
201,11,14.4,15.5,15.4,0.06944444444444445,0.07638888888888887
201,12,31.3,31.3,31.1,-0.006389776357827453,0
201,13,35.4,27.700000000000003,27.200000000000003,-0.23163841807909594,-0.2175141242937852
201,14,14.100000000000001,14.3,14.200000000000001,0.0070921985815602575,0.014184397163120515
201,15,20.1,19,18.700000000000003,-0.06965174129353226,-0.05472636815920405
201,16,17.4,17.3,17.3,-0.005747126436781487,-0.005747126436781487
201,17,17.4,19.1,18.700000000000003,0.07471264367816118,0.09770114942528753
201,18,75.3,75.3,74.10000000000001,-0.015936254980079532,0
201,19,28.1,27.200000000000003,26.900000000000002,-0.042704626334519546,-0.032028469750889625
201,20,31.200000000000003,31.5,31.200000000000003,0,0.009615384615384524
207,1,6.7,6.7,6.7,0,0
207,2,13.600000000000001,13.5,13.600000000000001,0,-0.007352941176470692
207,3,8.5,8.5,8.5,0,0
207,4,10.7,10.600000000000001,10.600000000000001,-0.009345794392523166,-0.009345794392523166
207,5,12.8,12.8,12.700000000000001,-0.007812499999999972,0
207,6,9.3,9.4,9.4,0.010752688172042972,0.010752688172042972
207,7,8.100000000000001,8,8.100000000000001,0,-0.012345679012345852
207,8,8.100000000000001,8.100000000000001,8,-0.012345679012345852,0
207,9,7,6.9,7,0,-0.014285714285714235
207,10,15,15.100000000000001,15,0,0.006666666666666762
207,11,6.300000000000001,6.1,6.300000000000001,0,-0.03174603174603191
207,12,9.600000000000001,9.600000000000001,9.600000000000001,0,0
