run,index,mlx.dose,mcmc.dose,sir.dose,sir_1e5.dose,mlx_sir,mlx_sir_1e5,mlx_mcmc
3,17,6920.643262078248,6936.422814895926,6799.894730641028,6799.894730641028,-0.017447587870749365,-0.017447587870749365,0.002280070250715379
3,18,5243.149831269264,5306.371871206764,5247.449127063213,5261.412501298386,8.19983394010465e-4,0.003483148606626993,0.012058026562669346
3,19,5691.897183808429,5701.672190317702,5689.462045621232,5688.382076213773,-4.278253996090683e-4,-6.175634381898751e-4,0.0017173547226186545
3,20,7684.812564699709,7562.581066992379,7678.717700703899,7827.39873920161,-7.9310509456099e-4,0.018554281357085086,-0.015905592579941546
6,1,27270.497332211067,27266.89139962986,27292.56333822253,27359.60290326224,8.091530470696811e-4,0.003267471434997378,-1.3222833955970766e-4
6,2,26417.03202360261,26550.08882768851,26300.96745958071,26144.868058578522,-0.004393550491145319,-0.01030259435582766,0.005036780966424185
6,3,31416.04296299733,30953.534708107683,31120.732567221312,31498.030095514656,-0.009399987010580623,0.002609721810410462,-0.014722040437568824
6,4,34223.9115905007,34975.498723273915,34836.16506142552,35022.750056206365,0.017889640385079775,0.023341530192808088,0.021960877580744734
6,5,16761.263367109896,16803.458312973777,16857.527734804746,16857.527734804746,0.005743264429801076,0.005743264429801076,0.002517408439907867
6,6,36381.14509052819,36807.06320948368,37496.34677397807,37513.41176893508,0.03065328704401394,0.031122348556908902,0.011707111414323651
6,7,28448.839999790194,28471.51879202613,28603.18034197745,28347.77748537124,0.005425189293777723,-0.003552430061109687,7.971781006221527e-4
6,8,35167.02412954806,34892.57748383096,35443.236171842305,35912.61780724129,0.007854291033461861,0.021201500443899242,-0.0078040906932043885
6,9,20051.547017019588,20469.684544518692,20105.633361652548,20095.636526129303,0.0026973651752182685,0.0021988083549011267,0.020853130541209238
6,10,30522.56595476561,30637.545589155434,30685.317782131107,30806.99607441112,0.005332180381121783,0.009318683103741471,0.0037670369706211118
6,11,23993.841716622686,23946.234084023254,23862.26357150338,24325.943482876264,-0.005483829837393277,0.013841125159357082,-0.001984160484248365
6,12,34957.231580671156,35462.489951528696,36262.063467978674,36461.849494082155,0.03732652239054872,0.04304167822725827,0.014453615117992123
6,13,35225.677358844776,35138.051533093225,35069.11443324295,35149.8110998539,-0.004444568205372436,-0.002153720373295503,-0.0024875554516355994
6,14,56817.21100275713,46574.72919228027,52996.48903088006,52525.40249413451,-0.06724585569136202,-0.07553712040554673,-0.1802707600339593
6,15,28535.50336561075,28350.80440854285,28761.715184382203,28502.28970732798,0.007927381405301161,-0.0011639415592997904,-0.006472602031982772
6,16,35221.56100347533,34346.505388628786,35022.63678338442,34594.192840840624,-0.005647796816026578,-0.0178120487780995,-0.02484431666047411
6,17,34490.364377930964,34420.163328885035,34462.28545000653,34340.35880996453,-8.141093441854487e-4,-0.00434920218072324,-0.0020353814844254795
6,18,22367.11673356805,22396.719525079177,22443.658959679036,22347.011141235474,0.00342208729997427,-8.988906604311062e-4,0.001323496088644232
6,19,22514.23805803051,22419.330696797482,22381.853816939027,22457.072010984637,-0.005880023154692744,-0.0025391064489292538,-0.004215437404028709
6,20,35101.12647015933,34006.55215848872,34860.766599686394,34990.44468162792,-0.006847639795186505,-0.0031532261115751626,-0.031183452548200968
101,1,6045.434441260397,6046.431558885499,6039.653730470431,6041.973552574047,-9.562109797291877e-4,-5.724797316019257e-4,1.6493729851680897e-4
101,2,8249.703927512652,8333.20980898649,8226.013070722818,8242.063169752337,-0.002871722063967032,-9.261856943536034e-4,0.01012228829150433
101,3,7029.1867238873165,7009.955025335501,6990.6621491816295,6975.244593250343,-0.005480658889707502,-0.007674021583985154,-0.0027359777606220546
101,4,7914.6751459553525,7776.60721912355,7877.2526794934965,7863.329299976374,-0.004728237833106771,-0.006487423050485836,-0.017444547538045158
101,5,4210.812629311851,4219.700736765548,4211.892124702561,4198.235372976884,2.563627227664595e-4,-0.002986895272284489,0.002110781988214275
101,6,7993.941981919671,7855.715459225712,8011.97315826432,7951.389388035044,0.002255605105144742,-0.005323105168998002,-0.01729140929551319
101,7,5918.848177070584,5911.966255394959,5928.51422173022,5924.894636913446,0.001633095556848717,0.0010215602194843098,-0.0011627129924171706
101,8,7782.136255607131,7753.107886138657,7851.9464568470785,7956.876705790652,0.008970570412417092,0.022454046606755058,-0.003730128658125035
101,9,5133.6881736408395,5129.633081482465,5131.2586328671205,5139.220031151799,-4.732544501229437e-4,0.0010775600940008598,-7.898984163462679e-4
101,10,7700.4934503565655,7630.311958166014,7607.31208855327,7683.288337747503,-0.012100700092015658,-0.002234287025887427,-0.009113895446181033
101,11,5690.8906623518415,5696.643746589929,5704.305295431349,5684.251111641794,0.002357211528988268,-0.001166697992279464,0.0010109286189852616
101,12,7729.077214256922,7750.328873791554,7772.407176782648,7722.131188727275,0.005606097768799648,-8.986875583070434e-4,0.002749572678020479
101,13,7450.051533877111,7458.033533462045,7450.692928838969,7454.703868942437,8.609268794203593e-5,6.244701857659368e-4,0.001071401929052151
101,14,8261.866429295198,8316.952549612159,8509.334761534277,8637.919518271554,0.02995307832157609,0.045516723393510025,0.00666751523864323
101,15,6801.36247969008,6812.259827327172,6795.537025962893,6788.0920241731255,-8.56512756757706e-4,-0.0019511466351900017,0.0016022300928134898
101,16,7861.147926995627,7767.651298037843,7881.744527448989,7914.459163731206,0.0026200499780232034,0.00678160966193055,-0.011893508406922541
101,17,7300.652364180754,7343.611450314111,7295.723088948625,7316.14729229175,-6.75182844798017e-4,0.0021224032234459754,0.00588428047117088
